,0
PREV_PRODUCT_COMBINATION_POS_household_with_interest_MEAN,0.0029738538
ORGANIZATION_TYPE_Security_Ministries,0.0029677537
POS_MONTHS_BALANCE_MAX,0.0029613571
ORGANIZATION_TYPE_Security,0.002956366
POS_MONTHS_BALANCE_MEAN,0.002936865
NAME_TYPE_SUITE_Other_B,0.00293549
ORGANIZATION_TYPE_Military,0.0028965545
ELEVATORS_MEDI,0.0028945406
REG_REGION_NOT_WORK_REGION,0.002880662
YEARS_BUILD_MODE,0.0028778245
PREV_NAME_TYPE_SUITE_Unaccompanied_MEAN,0.0028497726
LIVINGAPARTMENTS_MODE,0.0028113043
INSTAL_AMT_PAYMENT_MIN,0.002802901
OCCUPATION_TYPE_Medicine_staff,0.0027802784
PREV_DAYS_DECISION_MIN,0.0027700611
AMT_REQ_CREDIT_BUREAU_WEEK,0.002762824
ORGANIZATION_TYPE_Transport__type_4,0.0027602059
PREV_APP_CREDIT_PERC_MEAN,0.0027474563
ORGANIZATION_TYPE_Restaurant,0.0027287668
ORGANIZATION_TYPE_Business_Entity_Type_1,0.002721915
ORGANIZATION_TYPE_Business_Entity_Type_2,0.0027200847
APPROVED_AMT_GOODS_PRICE_MIN,0.0027115452
INSTAL_AMT_PAYMENT_SUM,0.002703102
CC_MONTHS_BALANCE_MIN,0.0026982068
REG_REGION_NOT_LIVE_REGION,0.0026793662
INSTAL_AMT_PAYMENT_MAX,0.0026793112
INSTAL_PAYMENT_PERC_SUM,0.0026742457
CC_AMT_DRAWINGS_ATM_CURRENT_MAX,0.0026695428
CC_AMT_INST_MIN_REGULARITY_MEAN,0.0026532959
NONLIVINGAPARTMENTS_MODE,0.002652448
CC_AMT_DRAWINGS_POS_CURRENT_MAX,0.0026291765
CC_AMT_INST_MIN_REGULARITY_MIN,0.002622581
EXT_SOURCE_1,0.0026142064
WEEKDAY_APPR_PROCESS_START_TUESDAY,0.002585103
ORGANIZATION_TYPE_Trade__type_6,0.0025843189
NONLIVINGAPARTMENTS_AVG,0.002576291
FLOORSMAX_MEDI,0.002540829
LIVINGAPARTMENTS_AVG,0.0025263724
PREV_HOUR_APPR_PROCESS_START_MAX,0.0025041492
APPROVED_APP_CREDIT_PERC_MIN,0.0024819227
COMMONAREA_MEDI,0.0024688921
PREV_DAYS_DECISION_MAX,0.0024586732
NAME_HOUSING_TYPE_With_parents,0.0024206387
COMMONAREA_AVG,0.0024173893
LANDAREA_MODE,0.002392939
ENTRANCES_MODE,0.0023798593
