feature,importance
INSTAL_AMT_INSTALMENT_MAX,0.007314502
ORGANIZATION_TYPE_Trade__type_7,0.0072911894
NONLIVINGAPARTMENTS_MODE,0.0070515536
INSTAL_DBD_MAX,0.006759121
WALLSMATERIAL_MODE_Stone__brick,0.006754397
ORGANIZATION_TYPE_Business_Entity_Type_1,0.0066652694
ELEVATORS_MEDI,0.0065490874
FLAG_DOCUMENT_8,0.0065441504
NAME_TYPE_SUITE_Children,0.0061145336
FLAG_OWN_CAR,0.0058940873
ORGANIZATION_TYPE_Industry__type_7,0.0058516706
EMERGENCYSTATE_MODE_No,0.0057912683
INSTAL_AMT_PAYMENT_MAX,0.0057344967
PREV_DAYS_DECISION_MIN,0.00517378
CC_AMT_INST_MIN_REGULARITY_SUM,0.0051676296
NONLIVINGAPARTMENTS_MEDI,0.005153676
ORGANIZATION_TYPE_Military,0.005135436
INSTAL_AMT_PAYMENT_MEAN,0.005074996
NAME_HOUSING_TYPE_With_parents,0.0049990397
INSTAL_DBD_SUM,0.0046982137
ORGANIZATION_TYPE_Restaurant,0.004490594
PREV_PRODUCT_COMBINATION_POS_household_with_interest_MEAN,0.0044665155
NAME_INCOME_TYPE_State_servant,0.00433984
ORGANIZATION_TYPE_Housing,0.004214645
OCCUPATION_TYPE_Low_skill_Laborers,0.00420266
NAME_EDUCATION_TYPE_Incomplete_higher,0.00403098
OCCUPATION_TYPE_Medicine_staff,0.0039131884
HOUSETYPE_MODE_block_of_flats,0.0037689323
ORGANIZATION_TYPE_School,0.0034964688
REG_REGION_NOT_WORK_REGION,0.0034724225
PREV_DAYS_DECISION_MAX,0.0034637882
OCCUPATION_TYPE_High_skill_tech_staff,0.0034168602
APPROVED_AMT_CREDIT_MIN,0.0033542768
ORGANIZATION_TYPE_Hotel,0.003147285
ORGANIZATION_TYPE_Postal,0.002942494
ORGANIZATION_TYPE_Medicine,0.0029183386
PREV_WEEKDAY_APPR_PROCESS_START_SUNDAY_MEAN,0.0028985112
OCCUPATION_TYPE_Security_staff,0.0028927193
BURO_DAYS_CREDIT_MIN,0.0028388929
ORGANIZATION_TYPE_Industry__type_12,0.002793571
PREV_PRODUCT_COMBINATION_POS_mobile_with_interest_MEAN,0.0027641666
WALLSMATERIAL_MODE_Block,0.0026954657
ORGANIZATION_TYPE_Trade__type_2,0.0025540537
ORGANIZATION_TYPE_Construction,0.0025472138
INSTAL_DPD_MAX,0.0024214608
OCCUPATION_TYPE_Cooking_staff,0.0024122542
CC_AMT_INST_MIN_REGULARITY_MAX,0.0024041156
CC_AMT_INST_MIN_REGULARITY_MEAN,0.002371788
CC_AMT_BALANCE_MIN,0.0023486388
FLAG_DOCUMENT_5,0.0023272478
INSTAL_DPD_MEAN,0.0022750376
CC_AMT_RECEIVABLE_PRINCIPAL_MAX,0.0022690077
INSTAL_NUM_INSTALMENT_VERSION_NUNIQUE,0.0021894227
ORGANIZATION_TYPE_Agriculture,0.0021451847
NAME_HOUSING_TYPE_Rented_apartment,0.002121566
HOUSETYPE_MODE_specific_housing,0.002105782
INSTAL_DPD_SUM,0.0020449988
APPROVED_AMT_CREDIT_MAX,0.001959047
APPROVED_AMT_ANNUITY_MIN,0.001917581
ORGANIZATION_TYPE_Industry__type_11,0.0018978439
OCCUPATION_TYPE_Accountants,0.0018584516
NAME_EDUCATION_TYPE_Lower_secondary,0.0018266231
CC_AMT_INST_MIN_REGULARITY_MIN,0.0017719287
ORGANIZATION_TYPE_Industry__type_1,0.001715272
PREV_AMT_ANNUITY_MIN,0.0017070714
FLAG_EMP_PHONE,0.0016665065
PREV_AMT_GOODS_PRICE_MIN,0.0016407826
CC_AMT_PAYMENT_TOTAL_CURRENT_MIN,0.0016377756
CC_AMT_PAYMENT_TOTAL_CURRENT_SUM,0.0016213894
CC_AMT_CREDIT_LIMIT_ACTUAL_MAX,0.0016070909
BURO_DAYS_CREDIT_MAX,0.0016057653
APPROVED_AMT_APPLICATION_MIN,0.0015887198
REG_REGION_NOT_LIVE_REGION,0.0015097504
PREV_AMT_ANNUITY_MAX,0.0015055044
INSTAL_PAYMENT_PERC_MAX,0.0014728522
ORGANIZATION_TYPE_Bank,0.00140809
PREV_NAME_GOODS_CATEGORY_Other_MEAN,0.0013502587
APPROVED_DAYS_DECISION_MIN,0.0013386263
ORGANIZATION_TYPE_Transport__type_4,0.0013294395
ORGANIZATION_TYPE_Security,0.0013264096
CC_CNT_INSTALMENT_MATURE_CUM_MAX,0.0013085696
APPROVED_DAYS_DECISION_MAX,0.0012981637
FONDKAPREMONT_MODE_reg_oper_spec_account,0.0012854092
CC_AMT_BALANCE_SUM,0.0012844467
PREV_NAME_PAYMENT_TYPE_Cash_through_the_bank_MEAN,0.0011695613
PREV_AMT_APPLICATION_MIN,0.0011527956
INSTAL_PAYMENT_DIFF_MAX,0.0011223772
CC_AMT_PAYMENT_TOTAL_CURRENT_MEAN,0.0011140124
CC_MONTHS_BALANCE_MIN,0.0010833035
OCCUPATION_TYPE_Cleaning_staff,0.0010759814
CC_AMT_PAYMENT_CURRENT_SUM,0.00106619
PREV_APP_CREDIT_PERC_MIN,0.0010481887
OCCUPATION_TYPE_Private_service_staff,0.0010320549
CC_AMT_PAYMENT_CURRENT_MEAN,0.0010236063
PREV_CNT_PAYMENT_MEAN,0.0010138031
CC_AMT_RECEIVABLE_PRINCIPAL_MIN,0.0009936204
PREV_AMT_APPLICATION_MAX,0.0009892149
PREV_NAME_GOODS_CATEGORY_Computers_MEAN,0.0009824802
CC_AMT_PAYMENT_CURRENT_MIN,0.0009633011
ORGANIZATION_TYPE_Trade__type_3,0.0009335825
APPROVED_CNT_PAYMENT_MEAN,0.0009273195
INSTAL_PAYMENT_PERC_SUM,0.0009134724
APPROVED_AMT_GOODS_PRICE_MIN,0.00090371206
CC_AMT_DRAWINGS_POS_CURRENT_MIN,0.0008869934
CC_MONTHS_BALANCE_MAX,0.00087723543
CC_CNT_INSTALMENT_MATURE_CUM_MIN,0.00087450026
NAME_INCOME_TYPE_Pensioner,0.00084194686
WALLSMATERIAL_MODE_Others,0.00079959125
APPROVED_AMT_APPLICATION_MAX,0.0007950325
FLAG_DOCUMENT_18,0.0007770652
PREV_HOUR_APPR_PROCESS_START_MEAN,0.00076633407
PREV_DAYS_DECISION_MEAN,0.00075401884
PREV_WEEKDAY_APPR_PROCESS_START_MONDAY_MEAN,0.0007522328
PREV_PRODUCT_COMBINATION_POS_industry_with_interest_MEAN,0.00071217015
PREV_AMT_APPLICATION_MEAN,0.0006852599
OCCUPATION_TYPE_Waiters_barmen_staff,0.0006697883
PREV_AMT_CREDIT_MAX,0.00065852416
PREV_NAME_PORTFOLIO_POS_MEAN,0.0006540539
INSTAL_PAYMENT_PERC_MEAN,0.00064931536
PREV_HOUR_APPR_PROCESS_START_MIN,0.00063345773
FLAG_DOCUMENT_16,0.00060907425
APPROVED_APP_CREDIT_PERC_MIN,0.00057398307
NAME_HOUSING_TYPE_Office_apartment,0.00054782943
APPROVED_HOUR_APPR_PROCESS_START_MIN,0.0005408198
CC_CNT_DRAWINGS_ATM_CURRENT_MIN,0.0004671578
PREV_CHANNEL_TYPE_Regional___Local_MEAN,0.00046479597
FLAG_DOCUMENT_19,0.00045737266
CC_AMT_DRAWINGS_CURRENT_MAX,0.00044263806
FLAG_DOCUMENT_13,0.00040793887
CC_AMT_CREDIT_LIMIT_ACTUAL_MIN,0.00039349688
NAME_HOUSING_TYPE_Co_op_apartment,0.00038894173
PREV_WEEKDAY_APPR_PROCESS_START_WEDNESDAY_MEAN,0.00036824573
INSTAL_PAYMENT_PERC_VAR,0.00036301903
NAME_TYPE_SUITE_Other_B,0.00035241523
ORGANIZATION_TYPE_Services,0.00034853432
PREV_CODE_REJECT_REASON_HC_MEAN,0.00034464875
PREV_NAME_CONTRACT_STATUS_Approved_MEAN,0.00034164687
CC_AMT_DRAWINGS_OTHER_CURRENT_MIN,0.00030698458
PREV_NAME_PORTFOLIO_XNA_MEAN,0.00030605198
ORGANIZATION_TYPE_Transport__type_2,0.0003002028
POS_NAME_CONTRACT_STATUS_Active_MEAN,0.00029609038
PREV_NAME_GOODS_CATEGORY_Consumer_Electronics_MEAN,0.0002893429
PREV_NAME_CONTRACT_TYPE_Consumer_loans_MEAN,0.00028658856
CC_AMT_DRAWINGS_CURRENT_MIN,0.00028418945
ORGANIZATION_TYPE_Culture,0.00028315737
CC_AMT_PAYMENT_CURRENT_MAX,0.00027381748
PREV_AMT_GOODS_PRICE_MAX,0.00026599204
ORGANIZATION_TYPE_Advertising,0.00025439102
PREV_NAME_YIELD_GROUP_low_normal_MEAN,0.00024551438
WALLSMATERIAL_MODE_Wooden,0.00023959027
ORGANIZATION_TYPE_Transport__type_3,0.00023365603
PREV_WEEKDAY_APPR_PROCESS_START_THURSDAY_MEAN,0.00022473301
ORGANIZATION_TYPE_Industry__type_6,0.0001996531
ORGANIZATION_TYPE_Industry__type_2,0.00019065037
CC_AMT_RECEIVABLE_PRINCIPAL_SUM,0.0001902689
FONDKAPREMONT_MODE_not_specified,0.00018113914
PREV_NAME_TYPE_SUITE_Spouse__partner_MEAN,0.00017861323
FLAG_DOCUMENT_14,0.00017453256
REFUSED_HOUR_APPR_PROCESS_START_MIN,0.00016645764
ORGANIZATION_TYPE_Trade__type_1,0.0001581946
PREV_AMT_CREDIT_MIN,0.00015339826
PREV_NAME_SELLER_INDUSTRY_Consumer_electronics_MEAN,0.00015263598
ORGANIZATION_TYPE_Security_Ministries,0.00013259341
CC_AMT_DRAWINGS_ATM_CURRENT_MIN,0.00013063257
ORGANIZATION_TYPE_Industry__type_4,0.00012880999
PREV_AMT_DOWN_PAYMENT_MIN,0.00012776877
ORGANIZATION_TYPE_Police,0.00012456297
FONDKAPREMONT_MODE_org_spec_account,0.00011457251
ORGANIZATION_TYPE_Legal_Services,0.000110553694
PREV_NAME_YIELD_GROUP_high_MEAN,0.00010842535
CC_AMT_PAYMENT_TOTAL_CURRENT_MAX,0.000105351006
FLAG_DOCUMENT_9,0.00010096946
