feature,importance,fold
OCCUPATION_TYPE_Private_service_staff,0,1
OCCUPATION_TYPE_Realty_agents,0,1
OCCUPATION_TYPE_Sales_staff,0,1
OCCUPATION_TYPE_Secretaries,0,1
OCCUPATION_TYPE_Security_staff,0,1
OCCUPATION_TYPE_Waiters_barmen_staff,0,1
WEEKDAY_APPR_PROCESS_START_FRIDAY,4,1
WEEKDAY_APPR_PROCESS_START_MONDAY,1,1
WEEKDAY_APPR_PROCESS_START_SATURDAY,1,1
WEEKDAY_APPR_PROCESS_START_SUNDAY,0,1
WEEKDAY_APPR_PROCESS_START_THURSDAY,3,1
WEEKDAY_APPR_PROCESS_START_TUESDAY,1,1
WEEKDAY_APPR_PROCESS_START_WEDNESDAY,5,1
ORGANIZATION_TYPE_Advertising,0,1
ORGANIZATION_TYPE_Agriculture,0,1
ORGANIZATION_TYPE_Bank,0,1
ORGANIZATION_TYPE_Business_Entity_Type_1,0,1
ORGANIZATION_TYPE_Business_Entity_Type_2,3,1
ORGANIZATION_TYPE_Business_Entity_Type_3,3,1
ORGANIZATION_TYPE_Cleaning,0,1
ORGANIZATION_TYPE_Construction,0,1
ORGANIZATION_TYPE_Culture,0,1
ORGANIZATION_TYPE_Electricity,0,1
ORGANIZATION_TYPE_Emergency,0,1
ORGANIZATION_TYPE_Government,0,1
ORGANIZATION_TYPE_Hotel,0,1
ORGANIZATION_TYPE_Housing,1,1
ORGANIZATION_TYPE_Industry__type_1,0,1
ORGANIZATION_TYPE_Industry__type_10,0,1
ORGANIZATION_TYPE_Industry__type_11,0,1
ORGANIZATION_TYPE_Industry__type_12,0,1
ORGANIZATION_TYPE_Industry__type_13,0,1
ORGANIZATION_TYPE_Industry__type_2,0,1
ORGANIZATION_TYPE_Industry__type_3,5,1
ORGANIZATION_TYPE_Industry__type_4,0,1
ORGANIZATION_TYPE_Industry__type_5,0,1
ORGANIZATION_TYPE_Industry__type_6,0,1
ORGANIZATION_TYPE_Industry__type_7,2,1
ORGANIZATION_TYPE_Industry__type_8,0,1
ORGANIZATION_TYPE_Industry__type_9,0,1
ORGANIZATION_TYPE_Insurance,0,1
ORGANIZATION_TYPE_Kindergarten,2,1
ORGANIZATION_TYPE_Legal_Services,0,1
ORGANIZATION_TYPE_Medicine,0,1
ORGANIZATION_TYPE_Military,0,1
ORGANIZATION_TYPE_Mobile,0,1
ORGANIZATION_TYPE_Other,2,1
ORGANIZATION_TYPE_Police,0,1
ORGANIZATION_TYPE_Postal,0,1
ORGANIZATION_TYPE_Realtor,0,1
ORGANIZATION_TYPE_Religion,0,1
ORGANIZATION_TYPE_Restaurant,0,1
ORGANIZATION_TYPE_School,0,1
ORGANIZATION_TYPE_Security,0,1
ORGANIZATION_TYPE_Security_Ministries,0,1
ORGANIZATION_TYPE_Self_employed,0,1
ORGANIZATION_TYPE_Services,0,1
ORGANIZATION_TYPE_Telecom,0,1
ORGANIZATION_TYPE_Trade__type_1,0,1
ORGANIZATION_TYPE_Trade__type_2,0,1
ORGANIZATION_TYPE_Trade__type_3,0,1
ORGANIZATION_TYPE_Trade__type_4,0,1
ORGANIZATION_TYPE_Trade__type_5,0,1
ORGANIZATION_TYPE_Trade__type_6,0,1
ORGANIZATION_TYPE_Trade__type_7,2,1
ORGANIZATION_TYPE_Transport__type_1,0,1
ORGANIZATION_TYPE_Transport__type_2,0,1
ORGANIZATION_TYPE_Transport__type_3,0,1
ORGANIZATION_TYPE_Transport__type_4,2,1
ORGANIZATION_TYPE_University,0,1
ORGANIZATION_TYPE_XNA,0,1
FONDKAPREMONT_MODE_not_specified,0,1
FONDKAPREMONT_MODE_org_spec_account,0,1
FONDKAPREMONT_MODE_reg_oper_account,1,1
FONDKAPREMONT_MODE_reg_oper_spec_account,0,1
HOUSETYPE_MODE_block_of_flats,0,1
HOUSETYPE_MODE_specific_housing,1,1
HOUSETYPE_MODE_terraced_house,0,1
WALLSMATERIAL_MODE_Block,1,1
WALLSMATERIAL_MODE_Mixed,0,1
WALLSMATERIAL_MODE_Monolithic,0,1
WALLSMATERIAL_MODE_Others,0,1
WALLSMATERIAL_MODE_Panel,2,1
WALLSMATERIAL_MODE_Stone__brick,1,1
WALLSMATERIAL_MODE_Wooden,1,1
EMERGENCYSTATE_MODE_No,2,1
EMERGENCYSTATE_MODE_Yes,0,1
DAYS_EMPLOYED_PERC,45,1
INCOME_CREDIT_PERC,31,1
INCOME_PER_PERSON,37,1
ANNUITY_INCOME_PERC,36,1
PAYMENT_RATE,77,1
BURO_DAYS_CREDIT_MIN,0,1
BURO_DAYS_CREDIT_MAX,0,1
BURO_DAYS_CREDIT_MEAN,0,1
BURO_DAYS_CREDIT_VAR,0,1
BURO_DAYS_CREDIT_ENDDATE_MIN,0,1
BURO_DAYS_CREDIT_ENDDATE_MAX,0,1
BURO_DAYS_CREDIT_ENDDATE_MEAN,0,1
BURO_DAYS_CREDIT_UPDATE_MEAN,0,1
BURO_CREDIT_DAY_OVERDUE_MAX,0,1
BURO_CREDIT_DAY_OVERDUE_MEAN,0,1
BURO_AMT_CREDIT_MAX_OVERDUE_MEAN,0,1
BURO_AMT_CREDIT_SUM_MAX,0,1
BURO_AMT_CREDIT_SUM_MEAN,0,1
BURO_AMT_CREDIT_SUM_SUM,0,1
BURO_AMT_CREDIT_SUM_DEBT_MAX,0,1
BURO_AMT_CREDIT_SUM_DEBT_MEAN,0,1
BURO_AMT_CREDIT_SUM_DEBT_SUM,0,1
BURO_AMT_CREDIT_SUM_OVERDUE_MEAN,0,1
BURO_AMT_CREDIT_SUM_LIMIT_MEAN,0,1
BURO_AMT_CREDIT_SUM_LIMIT_SUM,0,1
BURO_AMT_ANNUITY_MAX,0,1
BURO_AMT_ANNUITY_MEAN,0,1
BURO_CNT_CREDIT_PROLONG_SUM,0,1
BURO_MONTHS_BALANCE_MIN_MIN,0,1
BURO_MONTHS_BALANCE_MAX_MAX,0,1
BURO_MONTHS_BALANCE_SIZE_MEAN,0,1
BURO_MONTHS_BALANCE_SIZE_SUM,0,1
BURO_CREDIT_ACTIVE_Active_MEAN,0,1
BURO_CREDIT_ACTIVE_Bad_debt_MEAN,0,1
BURO_CREDIT_ACTIVE_Closed_MEAN,0,1
BURO_CREDIT_ACTIVE_Sold_MEAN,0,1
BURO_CREDIT_ACTIVE_nan_MEAN,0,1
BURO_CREDIT_CURRENCY_currency_1_MEAN,0,1
BURO_CREDIT_CURRENCY_currency_2_MEAN,0,1
BURO_CREDIT_CURRENCY_currency_4_MEAN,0,1
BURO_CREDIT_CURRENCY_nan_MEAN,0,1
BURO_CREDIT_TYPE_Another_type_of_loan_MEAN,0,1
BURO_CREDIT_TYPE_Car_loan_MEAN,0,1
BURO_CREDIT_TYPE_Consumer_credit_MEAN,0,1
BURO_CREDIT_TYPE_Credit_card_MEAN,0,1
